#Temps	EA1

0.0001596	0.0653714723885059
0.00016	0.0803419118747115
0.0001604	0.0953123513609171
0.0001608	0.105292644351721
0.0001612	0.115272937342525
0.0001616	0.13024337682873
0.000162	0.135233523324132
0.0001624	0.145213816314936
0.0001628	0.155194109305739
0.0001632	0.155194109305739
0.0001636	0.165174402296543
0.000164	0.165174402296543
0.0001644	0.165174402296543
0.0001648	0.170164548791945
0.0001652	0.165174402296543
0.0001656	0.165174402296543
0.000166	0.160184255801141
0.0001664	0.150203962810338
0.0001668	0.150203962810338
0.0001672	0.145213816314936
0.0001676	0.135233523324132
0.000168	0.125253230333328
0.0001684	0.120263083837926
0.0001688	0.105292644351721
0.0001692	0.100302497856319
0.0001696	0.0853320583701134
0.00017	0.0753517653793097
0.0001704	0.0603813258931041
0.0001708	0.0504010329023004
0.0001712	0.0354305934160948
0.0001716	0.0254503004252911
0.000172	0.0154700074344873
0.0001724	0.000499567948281765
0.0001728	-0.0144708715379238
0.0001732	-0.0244511645287275
0.0001736	-0.0344314575195313
0.000174	-0.0494018970057368
0.0001744	-0.0593821899965405
0.0001748	-0.0693624829873443
0.0001752	-0.079342775978148
0.0001756	-0.0893230689689517
0.000176	-0.0943132154643536
0.0001764	-0.0993033619597554
0.0001768	-0.109283654950559
0.0001772	-0.114273801445961
0.0001776	-0.119263947941363
